Site name,Address,Ward,Coordinates
UHC - Ballou School-Based Health Center,"3401 4th Street SE Washington, DC 20032",8,"(38.84027, -77.000676)"
UHC- Blair Shelter,"635 I Street, NE Washington, DC 20002",6,"(38.90265258212876, -76.99711224760512)"
UHC- Brentwood Square,"1201 Brentwood Road, NE Washington, DC 20018",5,"(38.92361, -76.988134)"
UHC- Central Union Mission,"1631 14th Street, NW Washington, DC 20009",2,"(38.91407030963986, -77.03131765552713)"
UHC- Christ House,"1717 Columbia Rd, NW Washington, DC 20009",1,"(38.9029, -77.0405585)"
UHC -Columbia Road,"1660 Columbia Road NW, Washington, DC 20009",1,"(38.9249828, -77.0388023)"
UHC- Congress Heights,"3720 Martin L. King Avenue SE, Washington, DC 20032",8,"(38.83886284702573, -77.00675676253184)"
UHC- DC General,"1900 Massachusetts Ave SE Bldg 29
Washington, DC 20003",6,"(38.88706533415401, -76.97474896243095)"
UHC- East of the River,"123 45th Street NE, Washington, DC 20019",7,"(38.89116085, -76.93747990019804)"
UHC - Eastern School-Based Health Center,"1700 East Capitol Street, N.E. Room: B60
Washington, D.C. 20003",6,"(38.89125867385594, -76.97944061694268)"
UHC- Federal City-CCNV,"425 2nd Street NW, Washington, DC 20001",6,"(38.8959, -77.0133)"
UHC- Friendship Place,"4713 Wisconsin Avenue NW, Washington, DC 20016",3,"(38.95128104718108, -77.08076502359054)"
UHC- Good Hope,"1638 Good Hope Road SE, Washington, DC 20020",7,"(38.8662088, -76.9811951)"
UHC- Harbor Light,"2100 New York Avenue NE, Washington, DC 20002",5,"(38.9178456, -76.97417053327749)"
UHC- Hunt Place,"4130 Hunt Place NE, Washington, DC 20019",7,"(38.90071495, -76.9429014502158)"
UHC - Minnesota Ave,"3924 Minnesota Avenue NE, Washington, DC 20019",7,"(38.8936932, -76.9503442)"
UHC- N Street Village,"1333 N Street NW, Washington, DC 20005",1,"(38.9075657, -77.0314256)"
UHC- New York Avenue,"1355 New York Avenue NE, Washington, DC 20002",5,"(38.915057250000004, -76.98584123084908)"
UHC - Pathways to Housing,"101 Q Street NE, Suite G, Washington, DC 20001",5,"(38.91243616111419, -77.0068655930629)"
UHC- Southwest,"850 Delaware Avenue SW, Washington, DC 20024",6,"(38.879534750000005, -77.01242614994058)"
UHC- Stanton Road,"3240 Stanton Avenue SE, Washington, DC 20020",8,"(38.85038934645063, -76.98115783182155)"
UHC- Walker-Jones,"40 Patterson Street NE, Washington, DC 20002",6,"(38.90653194097197, -77.00763339261901)"
UHC - Woodson School Based Health Center,"540 55th Street NE, Room W 101 Washington, DC 20019",7,"(38.89810968351792, -76.92194107145112)"
UHC-Upper Cardozo,"3020 14th Street NW, Washington, DC 20009",1,"(38.9281816, -77.0330112)"
Whitman-Walker - Elizabeth Taylor Medical Center,"1701 14th Street NW, Washington, DC 20009",2,"(38.91281845, -77.03169041928768)"
"Whitman-Walker Clinic, Inc. Max Robinson Center","2301 Martin Luther King Jr. Ave SE, Washington, DC 20020",8,"(38.8634404, -76.9912431)"
